"","Project.ID","Deployment.id_new","Unit","Subunit","Site","Settlements","Lon","Lat","Start.date","Time.Diff","rescaled_Time.Diff","Monitoring.Time.Diff_numeric","sinus_Monitoring.Time.Diff","cosinus_Monitoring.Time.Diff","Distance","Transect","Distance.Agri"
"48","T0","Givat Yearim Far CA23","Mediterranean Maquis","Judea","Givat Yearim","Far",35.092326,31.775273,31/07/12,  93,-1.6828189,40,0.745113160479349,-0.666938061652262,396.3905249,"Givat Yearim Far",397.955471
"49","T0","Givat Yearim Far CA24","Mediterranean Maquis","Judea","Givat Yearim","Far",35.092326,31.775273,31/07/12,  93,-1.6828189,40,0.745113160479349,-0.666938061652262,396.3905249,"Givat Yearim Far",397.955471
"50","T0","Givat Yearim Far CA25","Mediterranean Maquis","Judea","Givat Yearim","Far",35.092326,31.775273,31/07/12,  93,-1.6828189,40,0.745113160479349,-0.666938061652262,396.3905249,"Givat Yearim Far",397.955471
"51","T0","Givat Yearim Far CA27","Mediterranean Maquis","Judea","Givat Yearim","Far",35.092326,31.775273,31/07/12,  93,-1.6828189,40,0.745113160479349,-0.666938061652262,396.3905249,"Givat Yearim Far",397.955471
"52","T0","Givat Yearim Near CA11","Mediterranean Maquis","Judea","Givat Yearim","Near",35.094864,31.786766,31/07/12,  93,-1.6828189,40,0.745113160479349,-0.666938061652262,72.96258033,"Givat Yearim Near",62.324738
"53","T0","Givat Yearim Near CA12","Mediterranean Maquis","Judea","Givat Yearim","Near",35.094864,31.786766,31/07/12,  93,-1.6828189,40,0.745113160479349,-0.666938061652262,72.96258033,"Givat Yearim Near",62.324738
"54","T0","Givat Yearim Near CA13","Mediterranean Maquis","Judea","Givat Yearim","Near",35.094864,31.786766,31/07/12,  93,-1.6828189,40,0.745113160479349,-0.666938061652262,72.96258033,"Givat Yearim Near",62.324738
"55","T0","Givat Yearim Near CA14","Mediterranean Maquis","Judea","Givat Yearim","Near",35.094864,31.786766,31/07/12,  93,-1.6828189,40,0.745113160479349,-0.666938061652262,72.96258033,"Givat Yearim Near",62.324738
"56","T0","Givat Yearim Near CA16","Mediterranean Maquis","Judea","Givat Yearim","Near",35.094864,31.786766,31/07/12,  93,-1.6828189,40,0.745113160479349,-0.666938061652262,72.96258033,"Givat Yearim Near",62.324738
"57","T0","Givat Yearim Near CA17","Mediterranean Maquis","Judea","Givat Yearim","Near",35.094864,31.786766,31/07/12,  93,-1.6828189,40,0.745113160479349,-0.666938061652262,72.96258033,"Givat Yearim Near",62.324738
"58","T0","Givat Yearim Near CA18","Mediterranean Maquis","Judea","Givat Yearim","Near",35.094864,31.786766,31/07/12,  93,-1.6828189,40,0.745113160479349,-0.666938061652262,72.96258033,"Givat Yearim Near",62.324738
"59","T0","Givat Yeshayahu Far CA10","Mediterranean Maquis","Judea","Givat Yeshayahu","Far",34.955749,31.661871,16/07/12,  78,-1.6949840,25,-0.132351750097773,0.991202811863474,463.6723106,"Givat Yeshayahu Far",328.485518
"60","T0","Givat Yeshayahu Far CA11","Mediterranean Maquis","Judea","Givat Yeshayahu","Far",34.955749,31.661871,16/07/12,  78,-1.6949840,25,-0.132351750097773,0.991202811863474,463.6723106,"Givat Yeshayahu Far",328.485518
"61","T0","Givat Yeshayahu Far CA12","Mediterranean Maquis","Judea","Givat Yeshayahu","Far",34.955749,31.661871,16/07/12,  78,-1.6949840,25,-0.132351750097773,0.991202811863474,463.6723106,"Givat Yeshayahu Far",328.485518
"62","T0","Givat Yeshayahu Far CA13","Mediterranean Maquis","Judea","Givat Yeshayahu","Far",34.955749,31.661871,16/07/12,  78,-1.6949840,25,-0.132351750097773,0.991202811863474,463.6723106,"Givat Yeshayahu Far",328.485518
"63","T0","Givat Yeshayahu Far CA14","Mediterranean Maquis","Judea","Givat Yeshayahu","Far",34.955749,31.661871,16/07/12,  78,-1.6949840,25,-0.132351750097773,0.991202811863474,463.6723106,"Givat Yeshayahu Far",328.485518
"64","T0","Givat Yeshayahu Far CA16","Mediterranean Maquis","Judea","Givat Yeshayahu","Far",34.955749,31.661871,16/07/12,  78,-1.6949840,25,-0.132351750097773,0.991202811863474,463.6723106,"Givat Yeshayahu Far",328.485518
"65","T0","Givat Yeshayahu Far CA17","Mediterranean Maquis","Judea","Givat Yeshayahu","Far",34.955749,31.661871,16/07/12,  78,-1.6949840,25,-0.132351750097773,0.991202811863474,463.6723106,"Givat Yeshayahu Far",328.485518
"66","T0","Givat Yeshayahu Far CA18","Mediterranean Maquis","Judea","Givat Yeshayahu","Far",34.955749,31.661871,16/07/12,  78,-1.6949840,25,-0.132351750097773,0.991202811863474,463.6723106,"Givat Yeshayahu Far",328.485518
"67","T0","Givat Yeshayahu Near CA20","Mediterranean Maquis","Judea","Givat Yeshayahu","Near",34.951925,31.671793,16/07/12,  78,-1.6949840,25,-0.132351750097773,0.991202811863474,133.387153,"Givat Yeshayahu Near",170.007969
"68","T0","Givat Yeshayahu Near CA21","Mediterranean Maquis","Judea","Givat Yeshayahu","Near",34.951925,31.671793,16/07/12,  78,-1.6949840,25,-0.132351750097773,0.991202811863474,133.387153,"Givat Yeshayahu Near",170.007969
"69","T0","Givat Yeshayahu Near CA22","Mediterranean Maquis","Judea","Givat Yeshayahu","Near",34.951925,31.671793,16/07/12,  78,-1.6949840,25,-0.132351750097773,0.991202811863474,133.387153,"Givat Yeshayahu Near",170.007969
"70","T0","Givat Yeshayahu Near CA23","Mediterranean Maquis","Judea","Givat Yeshayahu","Near",34.951925,31.671793,16/07/12,  78,-1.6949840,25,-0.132351750097773,0.991202811863474,133.387153,"Givat Yeshayahu Near",170.007969
"71","T0","Givat Yeshayahu Near CA24","Mediterranean Maquis","Judea","Givat Yeshayahu","Near",34.951925,31.671793,16/07/12,  78,-1.6949840,25,-0.132351750097773,0.991202811863474,133.387153,"Givat Yeshayahu Near",170.007969
"72","T0","Givat Yeshayahu Near CA25","Mediterranean Maquis","Judea","Givat Yeshayahu","Near",34.951925,31.671793,16/07/12,  78,-1.6949840,25,-0.132351750097773,0.991202811863474,133.387153,"Givat Yeshayahu Near",170.007969
"73","T0","Givat Yeshayahu Near CA26","Mediterranean Maquis","Judea","Givat Yeshayahu","Near",34.951925,31.671793,16/07/12,  78,-1.6949840,25,-0.132351750097773,0.991202811863474,133.387153,"Givat Yeshayahu Near",170.007969
"74","T0","Goren Far CA28","Mediterranean Maquis","Galilee","Goren","Far",35.256043,33.048903,22/05/12,  23,-1.7395892,-30,0.988031624092862,0.154251449887584,1061.863908,"Goren Far",135.740851
