"","Project.ID","year","Deployment.id_new","Unit","Subunit","Site","Settlements","Agriculture","Dunes","Lon","Lat","Start.date","Time.Diff","rescaled_Time.Diff_new","Monitoring.Time.Diff_numeric","sinus_Monitoring.Time.Diff","cosinus_Monitoring.Time.Diff","Distance","Transect","Distance.Agri","Transect_date","Canis aureus","Canis lupus","Capra nubiana","Dama mesopotamica","Equus hemionus","Gazella dorcas","Gazella gazella","Hyaena hyaena","Hystrix indica","Lepus capensis","Meles meles","Oryx leucoryx","Sus scrofa","Vulpes vulpes"
"29","T0",2014,"Zofar Far 39","Arid Desert",NA,"Zofar",NA,"Far",NA,35.17713,30.547329,12/06/14, 774,-1.14490434,-9,-0.412118485241757,-0.911130261884677,803.6579307,"Zofar Far",829.564938,"Zofar Far 12/06/14",0,0,0,0,0,0,0,0,3,0,0,0,0,0
"30","T0",2014,"Zofar Far 40","Arid Desert",NA,"Zofar",NA,"Far",NA,35.17713,30.547329,12/06/14, 774,-1.14490434,-9,-0.412118485241757,-0.911130261884677,803.6579307,"Zofar Far",829.564938,"Zofar Far 12/06/14",0,0,0,0,0,0,0,0,2,1,0,0,0,0
"31","T0",2014,"Zofar Far 41","Arid Desert",NA,"Zofar",NA,"Far",NA,35.17713,30.547329,12/06/14, 774,-1.14490434,-9,-0.412118485241757,-0.911130261884677,803.6579307,"Zofar Far",829.564938,"Zofar Far 12/06/14",1,0,0,0,0,0,0,0,0,1,0,0,0,0
"32","T0",2014,"Zofar Far 42","Arid Desert",NA,"Zofar",NA,"Far",NA,35.17713,30.547329,12/06/14, 774,-1.14490434,-9,-0.412118485241757,-0.911130261884677,803.6579307,"Zofar Far",829.564938,"Zofar Far 12/06/14",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","T0",2014,"Zofar Near 11","Arid Desert",NA,"Zofar",NA,"Near",NA,35.192205,30.568179,12/06/14, 774,-1.14490434,-9,-0.412118485241757,-0.911130261884677,666.6563752,"Zofar Near",236.854778,"Zofar Near 12/06/14",0,0,0,0,0,0,0,0,0,5,0,0,0,0
"34","T0",2014,"Zofar Near 13","Arid Desert",NA,"Zofar",NA,"Near",NA,35.192205,30.568179,12/06/14, 774,-1.14490434,-9,-0.412118485241757,-0.911130261884677,666.6563752,"Zofar Near",236.854778,"Zofar Near 12/06/14",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"35","T0",2014,"Zofar Near 15","Arid Desert",NA,"Zofar",NA,"Near",NA,35.192205,30.568179,12/06/14, 774,-1.14490434,-9,-0.412118485241757,-0.911130261884677,666.6563752,"Zofar Near",236.854778,"Zofar Near 12/06/14",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"36","T0",2014,"Zofar Near 17","Arid Desert",NA,"Zofar",NA,"Near",NA,35.192205,30.568179,12/06/14, 774,-1.14490434,-9,-0.412118485241757,-0.911130261884677,666.6563752,"Zofar Near",236.854778,"Zofar Near 12/06/14",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","T0",2014,"Gamla Far CA11","Herbaceous and Dwarf Shrub Vegetation",NA,"Gamla","Far",NA,NA,35.74769,32.917469,25/06/14, 787,-1.13445555,4,-0.756802495307928,-0.653643620863612,4159.040426,"Gamla Far",2763.614907,"Gamla Far 25/06/14",0,4,0,0,0,0,2,0,0,0,0,0,7,0
"38","T0",2014,"Gamla Far CA21","Herbaceous and Dwarf Shrub Vegetation",NA,"Gamla","Far",NA,NA,35.74769,32.917469,25/06/14, 787,-1.13445555,4,-0.756802495307928,-0.653643620863612,4159.040426,"Gamla Far",2763.614907,"Gamla Far 25/06/14",0,0,0,0,0,0,6,0,0,0,0,0,6,0
"39","T0",2014,"Gamla Far CA22","Herbaceous and Dwarf Shrub Vegetation",NA,"Gamla","Far",NA,NA,35.74769,32.917469,25/06/14, 787,-1.13445555,4,-0.756802495307928,-0.653643620863612,4159.040426,"Gamla Far",2763.614907,"Gamla Far 25/06/14",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"40","T0",2014,"Gamla Far CA23","Herbaceous and Dwarf Shrub Vegetation",NA,"Gamla","Far",NA,NA,35.74769,32.917469,25/06/14, 787,-1.13445555,4,-0.756802495307928,-0.653643620863612,4159.040426,"Gamla Far",2763.614907,"Gamla Far 25/06/14",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","T0",2014,"Gamla Far CA25","Herbaceous and Dwarf Shrub Vegetation",NA,"Gamla","Far",NA,NA,35.74769,32.917469,25/06/14, 787,-1.13445555,4,-0.756802495307928,-0.653643620863612,4159.040426,"Gamla Far",2763.614907,"Gamla Far 25/06/14",2,0,0,0,0,0,0,0,3,0,0,0,0,0
"42","T0",2014,"Gamla Far CA30","Herbaceous and Dwarf Shrub Vegetation",NA,"Gamla","Far",NA,NA,35.74769,32.917469,25/06/14, 787,-1.13445555,4,-0.756802495307928,-0.653643620863612,4159.040426,"Gamla Far",2763.614907,"Gamla Far 25/06/14",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"43","T0",2014,"Gamla Far CA31","Herbaceous and Dwarf Shrub Vegetation",NA,"Gamla","Far",NA,NA,35.74769,32.917469,25/06/14, 787,-1.13445555,4,-0.756802495307928,-0.653643620863612,4159.040426,"Gamla Far",2763.614907,"Gamla Far 25/06/14",0,0,0,0,0,0,44,0,0,0,0,0,7,0
"44","T0",2014,"Gamla Far CA34","Herbaceous and Dwarf Shrub Vegetation",NA,"Gamla","Far",NA,NA,35.74769,32.917469,25/06/14, 787,-1.13445555,4,-0.756802495307928,-0.653643620863612,4159.040426,"Gamla Far",2763.614907,"Gamla Far 25/06/14",3,0,0,0,0,0,1,0,0,0,0,0,12,0
"45","T0",2014,"Gamla Far CA7","Herbaceous and Dwarf Shrub Vegetation",NA,"Gamla","Far",NA,NA,35.74769,32.917469,25/06/14, 787,-1.13445555,4,-0.756802495307928,-0.653643620863612,4159.040426,"Gamla Far",2763.614907,"Gamla Far 25/06/14",0,0,0,0,0,0,7,2,0,0,2,0,17,1
"46","T0",2014,"Karei Deshe Far CA10","Herbaceous and Dwarf Shrub Vegetation",NA,"Karei Deshe","Far",NA,NA,35.58239,32.92394,06/07/14, 798,-1.12561426,15,0.650287840157117,-0.759687912858821,1603.862858,"Karei Deshe Far",745.790268,"Karei Deshe Far 06/07/14",1,0,0,0,0,0,9,0,0,0,0,0,0,1
"47","T0",2014,"Karei Deshe Far CA12","Herbaceous and Dwarf Shrub Vegetation",NA,"Karei Deshe","Far",NA,NA,35.58239,32.92394,06/07/14, 798,-1.12561426,15,0.650287840157117,-0.759687912858821,1603.862858,"Karei Deshe Far",745.790268,"Karei Deshe Far 06/07/14",0,0,0,0,0,0,2,0,1,0,0,0,0,0
"48","T0",2014,"Karei Deshe Far CA26","Herbaceous and Dwarf Shrub Vegetation",NA,"Karei Deshe","Far",NA,NA,35.58239,32.92394,06/07/14, 798,-1.12561426,15,0.650287840157117,-0.759687912858821,1603.862858,"Karei Deshe Far",745.790268,"Karei Deshe Far 06/07/14",7,0,0,0,0,0,1,0,3,0,0,0,2,0
"49","T0",2014,"Karei Deshe Far CA29","Herbaceous and Dwarf Shrub Vegetation",NA,"Karei Deshe","Far",NA,NA,35.58239,32.92394,06/07/14, 798,-1.12561426,15,0.650287840157117,-0.759687912858821,1603.862858,"Karei Deshe Far",745.790268,"Karei Deshe Far 06/07/14",2,0,0,0,0,0,2,0,0,0,0,0,0,1
"50","T0",2014,"Karei Deshe Far CA3","Herbaceous and Dwarf Shrub Vegetation",NA,"Karei Deshe","Far",NA,NA,35.58239,32.92394,06/07/14, 798,-1.12561426,15,0.650287840157117,-0.759687912858821,1603.862858,"Karei Deshe Far",745.790268,"Karei Deshe Far 06/07/14",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"51","T0",2014,"Karei Deshe Far CA35","Herbaceous and Dwarf Shrub Vegetation",NA,"Karei Deshe","Far",NA,NA,35.58239,32.92394,06/07/14, 798,-1.12561426,15,0.650287840157117,-0.759687912858821,1603.862858,"Karei Deshe Far",745.790268,"Karei Deshe Far 06/07/14",3,0,0,0,0,0,4,0,0,0,0,0,0,0
"52","T0",2014,"Karei Deshe Far CA36","Herbaceous and Dwarf Shrub Vegetation",NA,"Karei Deshe","Far",NA,NA,35.58239,32.92394,06/07/14, 798,-1.12561426,15,0.650287840157117,-0.759687912858821,1603.862858,"Karei Deshe Far",745.790268,"Karei Deshe Far 06/07/14",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"53","T0",2014,"Karei Deshe Far CA4","Herbaceous and Dwarf Shrub Vegetation",NA,"Karei Deshe","Far",NA,NA,35.58239,32.92394,06/07/14, 798,-1.12561426,15,0.650287840157117,-0.759687912858821,1603.862858,"Karei Deshe Far",745.790268,"Karei Deshe Far 06/07/14",2,0,0,0,0,0,1,0,0,0,0,0,0,1
"54","T0",2014,"Natur Far CA13","Herbaceous and Dwarf Shrub Vegetation",NA,"Natur","Far",NA,NA,35.737387,32.844674,25/06/14, 787,-1.13445555,4,-0.756802495307928,-0.653643620863612,1561.015734,"Natur Far",1515.624005,"Natur Far 25/06/14",2,0,0,0,0,0,1,0,0,0,0,0,6,0
"55","T0",2014,"Natur Far CA14","Herbaceous and Dwarf Shrub Vegetation",NA,"Natur","Far",NA,NA,35.737387,32.844674,25/06/14, 787,-1.13445555,4,-0.756802495307928,-0.653643620863612,1561.015734,"Natur Far",1515.624005,"Natur Far 25/06/14",0,0,0,0,0,0,3,0,0,0,0,0,2,0
"56","T0",2014,"Natur Far CA16","Herbaceous and Dwarf Shrub Vegetation",NA,"Natur","Far",NA,NA,35.737387,32.844674,25/06/14, 787,-1.13445555,4,-0.756802495307928,-0.653643620863612,1561.015734,"Natur Far",1515.624005,"Natur Far 25/06/14",1,0,0,0,0,0,1,0,0,0,0,0,1,1
"57","T0",2014,"Natur Far CA28","Herbaceous and Dwarf Shrub Vegetation",NA,"Natur","Far",NA,NA,35.737387,32.844674,25/06/14, 787,-1.13445555,4,-0.756802495307928,-0.653643620863612,1561.015734,"Natur Far",1515.624005,"Natur Far 25/06/14",6,0,0,0,0,0,4,0,0,0,0,0,0,0
"58","T0",2014,"Natur Far CA33","Herbaceous and Dwarf Shrub Vegetation",NA,"Natur","Far",NA,NA,35.737387,32.844674,25/06/14, 787,-1.13445555,4,-0.756802495307928,-0.653643620863612,1561.015734,"Natur Far",1515.624005,"Natur Far 25/06/14",1,0,0,0,0,0,2,0,0,0,0,0,6,0
"59","T0",2014,"Natur Far CA6","Herbaceous and Dwarf Shrub Vegetation",NA,"Natur","Far",NA,NA,35.737387,32.844674,25/06/14, 787,-1.13445555,4,-0.756802495307928,-0.653643620863612,1561.015734,"Natur Far",1515.624005,"Natur Far 25/06/14",11,0,0,0,0,0,1,0,0,0,1,0,0,7
"60","T0",2014,"Natur Far CA9","Herbaceous and Dwarf Shrub Vegetation",NA,"Natur","Far",NA,NA,35.737387,32.844674,25/06/14, 787,-1.13445555,4,-0.756802495307928,-0.653643620863612,1561.015734,"Natur Far",1515.624005,"Natur Far 25/06/14",2,0,0,0,0,0,4,0,0,0,0,0,0,1
"61","T0",2014,"Shaal Far CA1","Herbaceous and Dwarf Shrub Vegetation",NA,"Shaal","Far",NA,NA,35.750144,33.087734,24/06/14, 786,-1.13525930,3,0.141120008059867,-0.989992496600445,635.8477538,"Shaal Far",839.221023,"Shaal Far 24/06/14",1,0,0,0,0,0,1,0,0,0,0,0,0,1
"62","T0",2014,"Shaal Far CA17","Herbaceous and Dwarf Shrub Vegetation",NA,"Shaal","Far",NA,NA,35.750144,33.087734,24/06/14, 786,-1.13525930,3,0.141120008059867,-0.989992496600445,635.8477538,"Shaal Far",839.221023,"Shaal Far 24/06/14",0,0,0,0,0,0,2,0,0,0,0,0,1,0
"63","T0",2014,"Shaal Far CA18","Herbaceous and Dwarf Shrub Vegetation",NA,"Shaal","Far",NA,NA,35.750144,33.087734,24/06/14, 786,-1.13525930,3,0.141120008059867,-0.989992496600445,635.8477538,"Shaal Far",839.221023,"Shaal Far 24/06/14",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"64","T0",2014,"Shaal Far CA20","Herbaceous and Dwarf Shrub Vegetation",NA,"Shaal","Far",NA,NA,35.750144,33.087734,24/06/14, 786,-1.13525930,3,0.141120008059867,-0.989992496600445,635.8477538,"Shaal Far",839.221023,"Shaal Far 24/06/14",1,1,0,0,0,0,10,0,0,0,0,0,1,3
"65","T0",2014,"Shaal Far CA5","Herbaceous and Dwarf Shrub Vegetation",NA,"Shaal","Far",NA,NA,35.750144,33.087734,24/06/14, 786,-1.13525930,3,0.141120008059867,-0.989992496600445,635.8477538,"Shaal Far",839.221023,"Shaal Far 24/06/14",2,0,0,0,0,0,4,0,2,0,0,0,0,0
"66","T0",2014,"Shaal Far CA8","Herbaceous and Dwarf Shrub Vegetation",NA,"Shaal","Far",NA,NA,35.750144,33.087734,24/06/14, 786,-1.13525930,3,0.141120008059867,-0.989992496600445,635.8477538,"Shaal Far",839.221023,"Shaal Far 24/06/14",1,0,0,0,0,0,35,0,0,0,0,0,1,2
"67","T0",2014,"Yavneel Far CA13","Herbaceous and Dwarf Shrub Vegetation",NA,"Yavneel","Far",NA,NA,35.512391,32.678852,16/07/14, 808,-1.11757673,25,-0.132351750097773,0.991202811863474,1924.414627,"Yavneel Far",174.417643,"Yavneel Far 16/07/14",10,0,0,0,0,0,3,0,0,0,0,0,14,2
