Project.ID,Cycle_number,year,Deployment.id_new,Unit,Subunit,Site,Settlements,Agriculture,Dunes,Lon,Lat,Start.date,Time.Diff,rescaled_Time.Diff,Monitoring.Time.Diff_numeric,sinus_Monitoring.Time.Diff,cosinus_Monitoring.Time.Diff,Distance,Transect,Transect_with_date,Distance_agri,Distance_agri_rescaled,Canis aureus,Canis lupus,Capra nubiana,Dama mesopotamica,Equus hemionus,Gazella dorcas,Gazella gazella,Hyaena hyaena,Hystrix indica,Lepus capensis,Meles meles,Oryx leucoryx,Sus scrofa,Vulpes vulpes
T0,0,2014,Zofar Far 39,Arid Desert,NA,Zofar,NA,Far,NA,35.17713,30.547329,12/06/2014,774,-1.13052513,-9,-0.412118485,-0.911130262,803.6579307,Zofar Far,Zofar Far_12_06_2014,829.564938,0.082552504,0,0,0,0,0,0,0,0,3,0,0,0,0,0
T0,0,2014,Zofar Far 40,Arid Desert,NA,Zofar,NA,Far,NA,35.17713,30.547329,12/06/2014,774,-1.13052513,-9,-0.412118485,-0.911130262,803.6579307,Zofar Far,Zofar Far_12_06_2014,829.564938,0.082552504,0,0,0,0,0,0,0,0,2,1,0,0,0,0
T0,0,2014,Zofar Far 41,Arid Desert,NA,Zofar,NA,Far,NA,35.17713,30.547329,12/06/2014,774,-1.13052513,-9,-0.412118485,-0.911130262,803.6579307,Zofar Far,Zofar Far_12_06_2014,829.564938,0.082552504,1,0,0,0,0,0,0,0,0,1,0,0,0,0
T0,0,2014,Zofar Far 42,Arid Desert,NA,Zofar,NA,Far,NA,35.17713,30.547329,12/06/2014,774,-1.13052513,-9,-0.412118485,-0.911130262,803.6579307,Zofar Far,Zofar Far_12_06_2014,829.564938,0.082552504,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T0,0,2014,Zofar Near 11,Arid Desert,NA,Zofar,NA,Near,NA,35.192205,30.568179,12/06/2014,774,-1.13052513,-9,-0.412118485,-0.911130262,666.6563752,Zofar Near,Zofar Near_12_06_2014,236.854778,-0.464610106,0,0,0,0,0,0,0,0,0,5,0,0,0,0
T0,0,2014,Zofar Near 13,Arid Desert,NA,Zofar,NA,Near,NA,35.192205,30.568179,12/06/2014,774,-1.13052513,-9,-0.412118485,-0.911130262,666.6563752,Zofar Near,Zofar Near_12_06_2014,236.854778,-0.464610106,0,0,0,0,0,0,0,1,0,0,0,0,0,0
T0,0,2014,Zofar Near 15,Arid Desert,NA,Zofar,NA,Near,NA,35.192205,30.568179,12/06/2014,774,-1.13052513,-9,-0.412118485,-0.911130262,666.6563752,Zofar Near,Zofar Near_12_06_2014,236.854778,-0.464610106,0,0,0,0,0,0,0,1,0,0,0,0,0,0
T0,0,2014,Zofar Near 17,Arid Desert,NA,Zofar,NA,Near,NA,35.192205,30.568179,12/06/2014,774,-1.13052513,-9,-0.412118485,-0.911130262,666.6563752,Zofar Near,Zofar Near_12_06_2014,236.854778,-0.464610106,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T0,0,2014,Gamla Far CA11,Herbaceous and Dwarf Shrub Vegetation,NA,Gamla,Far,NA,NA,35.74769,32.917469,25/06/2014,787,-1.11998208,4,-0.756802495,-0.653643621,4159.040426,Gamla Far,Gamla Far_25_06_2014,2763.614907,1.867977995,0,4,0,0,0,0,2,0,0,0,0,0,7,0
T0,0,2014,Gamla Far CA21,Herbaceous and Dwarf Shrub Vegetation,NA,Gamla,Far,NA,NA,35.74769,32.917469,25/06/2014,787,-1.11998208,4,-0.756802495,-0.653643621,4159.040426,Gamla Far,Gamla Far_25_06_2014,2763.614907,1.867977995,0,0,0,0,0,0,6,0,0,0,0,0,6,0
