"","V1"
"547",1.47631563545723
"548",1.61071032709711
"549",1.32957543001331
"550",1.35928841102608
"551",7.00059831696865
"552",6.98630946495033
"553",7.03964256062543
"554",6.95112618901243
"555",6.96066058382434
"556",6.92014900913171
"557",0.70813116497677
"558",0.671599061474717
"559",0.907161175941574
"560",0.807681602406397
"561",0.872743826280664
"562",0.905286533136617
"563",0.798478741665094
"564",0.611444970231231
"565",0.66451447708154
"566",4.26964876110409
"567",4.30393726528735
"568",4.43119426375219
"569",4.40839781093369
"570",0.0122411200352316
"571",-0.0727855001820951
"572",0.0351739563099476
"573",0.17228832620183
"574",0.292222763242855
"575",0.425184958458932
"576",0.585829657292155
"577",2.178105097748
"578",2.29026174897798
"579",2.19501144549565
"580",2.22066356210954
"581",0.498051759698679
"582",-0.0580708544155661
"583",-0.177962762310111
"584",-0.0127696869071785
"585",0.0821824158576696
"586",0.167478571227053
"587",0.216402971712528
"588",0.304823623391721
"589",0.397946297244817
"590",3.5897876176714
"591",3.60139575241509
"592",3.50969708276196
"593",3.4936289546899
"594",3.68995392537617
"595",6.00907186973754
"596",6.09342381431447
"597",6.19110656449261
"598",5.95386185467427
"599",6.27424033110301
"600",5.87815871869729
"601",0.103640627270566
"602",0.103640627270566
"603",0.103640627270566
"604",0.103640627270566
"605",0.103640627270566
"606",0.103640627270566
"607",-0.610405287453704
"608",-0.610405287453704
"609",-0.610405287453704
"610",0.438951860675337
"611",0.438951860675337
"612",0.438951860675337
"613",-0.906559455243953
"614",-0.906559455243953
"615",-0.906559455243953
"616",-0.117204047653059
"617",-0.858515947361272
"618",-0.858515947361272
"619",-0.858515947361272
"620",-0.858515947361272
"621",-0.030103796813481
"622",-0.030103796813481
"623",-0.030103796813481
"624",-0.030103796813481
"625",-0.913633461745286
"626",-0.913633461745286
"627",0.980249612761569
"628",0.980249612761569
"629",0.980249612761569
"630",0.106378065294544
"631",0.141435511318971
"632",0.304711458568834
"633",0.323441987811087
"634",0.161326061751086
"635",0.244314779351711
"636",0.190959419195964
"637",0.0776602978069467
"638",-0.581223329307592
"639",-0.652743839281399
"640",-0.507928619324443
"641",-0.691929924323267
"642",-0.751622717464236
"643",-0.736458996042106
"644",-0.685858513022356
"645",-0.620527292250008
"646",0.254828650096751
"647",0.347053964364023
"648",0.44153733420692
"649",0.508314350823883
"650",0.26105281742906
"651",-0.853942717268285
"652",-0.88665612713302
"653",-0.798336927279954
"654",-0.713423376647956
"655",-0.754384708293767
"656",-0.308440522354827
"657",-0.383355708465191
"658",-0.243902691951808
"659",-0.383355708465191
"660",-0.478821145613557
