Distance,Distance_rescaled,Transect,Gazella gazella,Meles meles,,,Distance,Distance_rescaled,Transect,Hystrix indica,
1129.038713,0.138495308,Kerem Maharal Far,0,0,,,1131.982008,0.141238106,Ramat Hashofet Far,4,
1129.928014,0.13932403,Kerem Maharal Far,0,0,,,1132.870581,0.14206615,Elyakim Far,3,
1130.125313,0.139507889,Elyakim Far,0,0,,,1138.157909,0.146993306,Elyakim Far,0,
1130.129757,0.139512031,Kerem Maharal Far,0,0,,,1138.570019,0.147377343,Ofer Far,0,
1131.982008,0.141238106,Ramat Hashofet Far,0,6,,,1138.570019,0.147377343,Ofer Far,0,
1132.870581,0.14206615,Elyakim Far,0,0,,,1138.570019,0.147377343,Ofer Far,0,
1138.157909,0.146993306,Elyakim Far,0,0,,,1138.570019,0.147377343,Ofer Far,0,
1138.570019,0.147377343,Ofer Far,0,0,,,1138.570019,0.147377343,Ofer Far,0,
1138.570019,0.147377343,Ofer Far,0,0,,,1138.570019,0.147377343,Ofer Far,0,
1138.570019,0.147377343,Ofer Far,0,0,,,1138.570019,0.147377343,Ofer Far,0,
1138.570019,0.147377343,Ofer Far,0,0,,,1138.570019,0.147377343,Ofer Far,0,
1138.570019,0.147377343,Ofer Far,0,0,,,1138.570019,0.147377343,Ofer Far,0,
1138.570019,0.147377343,Ofer Far,0,0,,,1138.570019,0.147377343,Ofer Far,0,
1138.570019,0.147377343,Ofer Far,0,0,,,1139.214403,0.147977832,Kerem Maharal Far,0,
1138.570019,0.147377343,Ofer Far,0,0,,,1147.790352,0.155969589,Kerem Maharal Far,0,
1138.570019,0.147377343,Ofer Far,0,0,,,1147.790352,0.155969589,Kerem Maharal Far,0,
1138.570019,0.147377343,Ofer Far,0,0,,,1147.790352,0.155969589,Kerem Maharal Far,0,
1139.214403,0.147977832,Kerem Maharal Far,0,0,,,1147.790352,0.155969589,Kerem Maharal Far,0,
1147.790352,0.155969589,Kerem Maharal Far,0,0,,,1147.790352,0.155969589,Kerem Maharal Far,0,
1147.790352,0.155969589,Kerem Maharal Far,0,0,,,1147.790352,0.155969589,Kerem Maharal Far,0,
1147.790352,0.155969589,Kerem Maharal Far,0,0,,,1148.319204,0.156462415,Elyakim Far,0,
1147.790352,0.155969589,Kerem Maharal Far,0,0,,,1150.684824,0.15866689,Kerem Maharal Far,0,
1147.790352,0.155969589,Kerem Maharal Far,0,0,,,1151.218949,0.15916463,Ramat Hashofet Far,2,
1147.790352,0.155969589,Kerem Maharal Far,0,1,,,1154.752471,0.162457449,Kerem Maharal Far,0,
1148.319204,0.156462415,Elyakim Far,0,0,,,1154.836723,0.162535962,Ofer Far,0,
1150.684824,0.15866689,Kerem Maharal Far,0,0,,,1155.037022,0.162722616,Kerem Maharal Far,0,
