Project.ID,year,Unit,Subunit,Site,Proximity,Dunes,Lon,Lat,Start.date,Deployment.id,Canis aureus,Canis lupus,Capra nubiana,Dama mesopotamica,Equus hemionus,Erinaceus concolor,Gazella dorcas,Gazella gazella,Hyaena hyaena,Hystrix indica,Lepus capensis,Martes foina,Meles meles,Oryx leucoryx,Sus scrofa,Vulpes vulpes
T0,2012,Mediterranean Maquis,Carmel,Yagur,Far,NA,35.054124,32.754811,15495,Yagur Far CA33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
T0,2012,Mediterranean Maquis,Carmel,Yagur,Far,NA,35.054124,32.754811,15495,Yagur Far CA35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
T0,2012,Mediterranean Maquis,Carmel,Yagur,Far,NA,35.054124,32.754811,15495,Yagur Far CA36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
T0,2012,Mediterranean Maquis,Carmel,Yagur,Near,NA,35.077215,32.738092,15495,Yagur Near CA1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,8
T0,2012,Mediterranean Maquis,Carmel,Yagur,Near,NA,35.077215,32.738092,15495,Yagur Near CA2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,4
T0,2012,Mediterranean Maquis,Carmel,Yagur,Near,NA,35.077215,32.738092,15495,Yagur Near CA3,0,0,0,0,0,0,0,0,1,0,0,0,4,0,23,4
T0,2012,Mediterranean Maquis,Carmel,Yagur,Near,NA,35.077215,32.738092,15495,Yagur Near CA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
T0,2012,Mediterranean Maquis,Carmel,Yagur,Near,NA,35.077215,32.738092,15495,Yagur Near CA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3
T0,2012,Mediterranean Maquis,Carmel,Yagur,Near,NA,35.077215,32.738092,15495,Yagur Near CA7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
T0,2012,Mediterranean Maquis,Carmel,Yagur,Near,NA,35.077215,32.738092,15495,Yagur Near CA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2
